HITId,short_file_name,vote,condition_num,workerid_hash
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,-3,2,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,-2,1,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,-3,35,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,-3,20,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,-3,18,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,-2,23,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,-3,26,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,-2,1,w_13360853871681403882
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,-2,1,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,-2,20,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,-3,26,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,-3,2,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,-1,1,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,-3,18,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,-2,35,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,-3,23,w_2980218364905195727
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,-3,35,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,-3,2,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,-3,18,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,-2,23,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,-2,20,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,-2,26,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,-2,1,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,-1,1,w_13889715660347052663
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,-2,18,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,-2,20,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,-1,1,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,-2,2,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,-3,23,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,-1,1,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,-2,26,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,-2,35,w_15944771019081864204
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,-3,18,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,-2,1,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,-1,1,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,-3,35,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,-3,23,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,2,20,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,3,2,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,2,26,w_15164063218192767844
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,-3,26,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,-2,35,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,-2,1,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,-2,2,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,-3,18,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,-2,1,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,-2,23,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,-3,20,w_12218020510501286732
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F7335.wav,0,35,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6723.wav,0,23,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8C20.wav,0,20,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5202.wav,0,2,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F6A26.wav,0,26,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F5101.wav,0,1,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2M0101.wav,0,1,w_7132889544811610568
3GVPRXWRQL1X2TZLIRYQTYR3FWN7IE,EE2F8A18.wav,0,18,w_7132889544811610568
