HITId,short_file_name,vote,condition_num,workerid_hash
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-2,12,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-2,18,w_7959529253334216044
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-2,11,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-1,23,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-3,12,w_17240814650218889817
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-3,12,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_8148301880510271783
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-2,13,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-3,12,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-3,21,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-1,1,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-2,18,w_14271908780114444006
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-2,18,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-2,13,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-2,12,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-2,4,w_3711638398783268309
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-2,18,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-1,23,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-1,21,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-2,4,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-2,12,w_3685451409838402909
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-3,12,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-3,23,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-3,21,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_14282785488749521392
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-2,12,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-3,1,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-3,21,w_11795945980123440082
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-1,1,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-2,12,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-2,4,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-2,18,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-2,13,w_3312692357718221515
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-3,23,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-1,13,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-3,12,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-1,1,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_8581162397092404154
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-3,12,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-2,11,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-2,4,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-1,1,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_4910346397854406272
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-2,4,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-2,11,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3412.wav,-2,12,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-2,21,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-2,13,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-2,23,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-2,18,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-1,1,w_16557683611843352126
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F5D13.wav,-3,13,w_8499295270598078675
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M3F23.wav,-3,23,w_8499295270598078675
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0B11.wav,-3,11,w_8499295270598078675
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M2901.wav,-2,1,w_8499295270598078675
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2M0404.wav,-3,4,w_8499295270598078675
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F6218.wav,-3,18,w_8499295270598078675
3HXK2V1N5OMCK1WKMRHSCVXFOBQ2GX,EE2F8D21.wav,-3,21,w_8499295270598078675
